"","species","decimalLongitude","decimalLatitude"
"220","Pteridium aquilinum",-122.693441,37.967092
"221","Pteridium aquilinum",-82.233851,27.925259
"222","Pteridium aquilinum",-82.300269,27.839956
"223","Pteridium aquilinum",-157.687034,21.317815
"224","Pteridium aquilinum",-123.92111,41.520905
"225","Pteridium aquilinum",-80.517618,34.326278
"226","Pteridium aquilinum",-122.844875,44.230955
"227","Pteridium aquilinum",-80.714819,28.691823
"228","Pteridium aquilinum",-123.334994,44.571704
"229","Pteridium aquilinum",-82.803637,34.946972
"230","Pteridium aquilinum",-82.052757,31.86378
"231","Pteridium aquilinum",-123.966281,41.858122
"232","Pteridium aquilinum",-122.480078,37.574412
"233","Pteridium aquilinum",-122.962666,38.200349
"234","Pteridium aquilinum",-122.001372,36.998263
"235","Pteridium aquilinum",-70.609213,41.57143
"236","Pteridium aquilinum",-120.664041,35.161641
"237","Pteridium aquilinum",-122.574777,48.992695
"238","Pteridium aquilinum",-81.42408,28.128031
"239","Pteridium aquilinum",-122.958733,38.081463
"240","Pteridium aquilinum",-122.200905,37.91787
"241","Pteridium aquilinum",-122.572496,37.892915
"242","Pteridium aquilinum",-81.556792,26.07158
"243","Pteridium aquilinum",-81.765075,32.388142
"244","Pteridium aquilinum",-60.349444,-13.746389
"245","Pteridium aquilinum",-92.683333,32.65
"246","Pteridium aquilinum",-47.599444,-14.164722
"247","Pteridium aquilinum",-84.54433,34.3547
"248","Pteridium aquilinum",-81.232,29.716
"249","Pteridium aquilinum",-84.750897,45.768061
"250","Pteridium aquilinum",-81.31558,32.01929
"251","Pteridium aquilinum",-83.3861,33.90473
"252","Pteridium aquilinum",-81.4403,32.1767
"253","Pteridium aquilinum",-81.475,30.482
"254","Pteridium aquilinum",-81.074722,31.9575
"255","Pteridium aquilinum",-83.678633,33.251367
"256","Pteridium aquilinum",-83.769833,33.193
"257","Pteridium aquilinum",-84.128427,32.205505
"258","Pteridium aquilinum",-81.4518,32.3285
"259","Pteridium aquilinum",-83.904004,30.861249
"260","Pteridium aquilinum",-83.487214,34.101831
"261","Pteridium aquilinum",-83.078832,34.499591
"262","Pteridium aquilinum",-83.953499,34.30582
"263","Pteridium aquilinum",-89.782,34.003
"264","Pteridium aquilinum",-89.451,31.019
"265","Pteridium aquilinum",-88.35686,34.92429
"266","Pteridium aquilinum",-89.260667,33.414833
"267","Pteridium aquilinum",-89.0076,33.1867
"268","Pteridium aquilinum",-89.4851,32.1985
"269","Pteridium aquilinum",-89.66792,33.7127
"270","Pteridium aquilinum",-89.0984,33.2074
"271","Pteridium aquilinum",-89.2619,32.2525
"272","Pteridium aquilinum",-89.22413,30.3576
"273","Pteridium aquilinum",-89.09758,31.69522
"274","Pteridium aquilinum",-89.90802,31.06254
"275","Pteridium aquilinum",-90.338,31.194
"276","Pteridium aquilinum",-90.16089,31.57374
"277","Pteridium aquilinum",-88.35569,34.48889
"278","Pteridium aquilinum",-89.430639,33.50775
"279","Pteridium aquilinum",-88.915,32.318333
"280","Pteridium aquilinum",-89.3631,32.2305
"281","Pteridium aquilinum",-91.1625,31.3719
"282","Pteridium aquilinum",-90.945,31.271
"283","Pteridium aquilinum",-90.956,31.259
"284","Pteridium aquilinum",-91.219,31.326
"285","Pteridium aquilinum",-91.0049,31.4344
"286","Pteridium aquilinum",-91.124,31.305
"287","Pteridium aquilinum",-91.08074,31.413364
"288","Pteridium aquilinum",-90.954,31.313
"289","Pteridium aquilinum",-89.7522,33.8056
"290","Pteridium aquilinum",-88.198611,34.322222
"291","Pteridium aquilinum",-89.711111,31.171944
"292","Pteridium aquilinum",-89.797,33.261
"293","Pteridium aquilinum",-88.9594,34.7922
"294","Pteridium aquilinum",-89.64656,31.57342
"295","Pteridium aquilinum",-121.893805,37.03625
"296","Pteridium aquilinum",-120.648293,35.262051
"297","Pteridium aquilinum",-123.007331,38.542717
"298","Pteridium aquilinum",-80.920608,27.701528
"299","Pteridium aquilinum",-80.94218,27.705209
"300","Pteridium aquilinum",-79.387142,33.15275
"301","Pteridium aquilinum",-83.173103,42.738457
"302","Pteridium aquilinum",-81.048035,32.327641
"303","Pteridium aquilinum",-121.999358,37.073383
"304","Pteridium aquilinum",-84.59866,33.634635
